Match,Round,GameDate,Location,HomeTeam,AwayTeam,Result
361,37,15/05/2022 23:00,Renato Dall'Ara,Bologna,Sassuolo,
362,37,15/05/2022 23:00,Sardegna Arena,Cagliari,Inter,
363,37,15/05/2022 23:00,Carlo Castellani,Empoli,Salernitana,
364,37,15/05/2022 23:00,Marcantonio Bentegodi,Hellas Verona,Torino,
365,37,15/05/2022 23:00,Allianz Stadium,Juventus,Lazio,
366,37,15/05/2022 23:00,Giuseppe Meazza,Milan,Atalanta,
367,37,15/05/2022 23:00,Diego Armando Maradona,Napoli,Genoa,
368,37,15/05/2022 23:00,Olimpico,Roma,Venezia,
369,37,15/05/2022 23:00,Luigi Ferraris,Sampdoria,Fiorentina,
370,37,15/05/2022 23:00,Stadio Friuli,Udinese,Spezia,
371,38,22/05/2022 23:00,Gewiss Stadium,Atalanta,Empoli,
372,38,22/05/2022 23:00,Artemio Franchi,Fiorentina,Juventus,
373,38,22/05/2022 23:00,Luigi Ferraris,Genoa,Bologna,
374,38,22/05/2022 23:00,Giuseppe Meazza,Inter,Sampdoria,
375,38,22/05/2022 23:00,Olimpico,Lazio,Hellas Verona,
376,38,22/05/2022 23:00,Arechi,Salernitana,Udinese,
377,38,22/05/2022 23:00,Mapei Stadium,Sassuolo,Milan,
378,38,22/05/2022 23:00,Alberto Picco,Spezia,Napoli,
379,38,22/05/2022 23:00,Olimpico Grande Torino,Torino,Roma,
